# doc = kitten.2.txt;;;;;;;;;;;;;;;;;1
# speaker = Алина;;;;;;;;;;;;;;;;;2
# sent = 905;;;;;;;;;;;;;;;;;3
;Так;ТАК;INTJ;;y;_Так_ , тут котёнок;к;а;т;;;;ADV;ТАК;ADV -;К;4
;,;,;PUNCT;;;;;;;;;;PUNCT;;;;5
;тут;ТУТ;ADV -;;y;Так , _тут_ котёнок , я;т;у;т;;;;ADV;ТУТ;ADV -;Т;6
;котёнок;КОТЕНОК;S m anim nom sg;;y;Так , тут _котёнок_ , я вижу;к;о;н;ё;т;о;S;КОТЕНОК;S m anim nom sg;К;7
;,;,;PUNCT;;;;;;;;;;PUNCT;;;;8
;я;Я;SPRO sg 1p - nom;;y;тут котёнок , _я_ вижу котёнка .;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я;9
;вижу;ВИДЕТЬ;V ipf praes sg indic - 1p;;y;котёнок , я _вижу_ котёнка .;у;ж;и;в;;;V;ВИДЕТЬ;V ipf praes sg indic - 1p;Ь;10
;котёнка;КОТЕНОК;S m anim acc sg;;y;, я вижу _котёнка_ .;а;к;н;ё;т;о;S;КОТЕНОК;S m anim acc sg;К;11
;.;.;PUNCT;;;;;;;;;;PUNCT;;;;12
;;;;;;;;;;;;;;;;;13
# sent = 906;;;;;;;;;;;;;;;;;14
;Он;ОН;SPRO sg 3p m nom;;y;. _Он_ светленький , он;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н;15
;светленький;СВЕТЛЕНЬКИЙ;A - nom sg plen m -;;y;Он _светленький_ , он похож;й;и;к;ь;н;е;A;СВЕТЛЕНЬКИЙ;A - nom sg plen m -;Й;16
;,;,;PUNCT;;;;;;;;;;PUNCT;;;;17
;он;ОН;SPRO sg 3p m nom;;y;Он светленький , _он_ похож на Мэйсона;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н;18
;похож;ПОХОЖИЙ;A - - sg brev m -;;y;светленький , он _похож_ на Мэйсона ,;ж;о;х;о;п;;A;ПОХОЖИЙ;A - - sg brev m -;Й;19
;на;НА;PR;;y;, он похож _на_ Мэйсона , но;а;н;;;;;PR;НА;PR;А;20
;Мэйсона;МЭЙСОН;S m inan nom sg zoon;;y;он похож на _Мэйсона_ , но не;а;н;о;с;й;э;S;МЭЙСОН;S m inan gen sg;Н;21
;,;,;PUNCT;;;;;;;;;;PUNCT;;;;22
;но;НО;CONJ;;y;на Мэйсона , _но_ не очень .;о;н;;;;;CONJ;НО;CONJ;О;23
;не;НЕ;PART;;y;Мэйсона , но _не_ очень .;е;н;;;;;PART;НЕ;PART;Е;24
;очень;ОЧЕНЬ;ADV -;;y;, но не _очень_ .;ь;н;е;ч;о;;ADV;ОЧЕНЬ;ADV -;Ь;25
;.;.;PUNCT;;;;;;;;;;PUNCT;;;;26
;;;;;;;;;;;;;;;;;27
# sent = 907;;;;;;;;;;;;;;;;;28
;С;С;PR;;y;. _С_ ним что-то не;с;;;;;;PR;С;PR;С;29
;ним;ОН;SPRO sg 3p m ins;;y;С _ним_ что-то не так;м;и;н;;;;SPRO;ОН;SPRO sg 3p m ins;Н;30
;что-то;ЧТО-ТО;SPRO n inan nom sg;;y;С ним _что-то_ не так ,;о;т;-;о;т;ч;SPRO;ЧТО-ТО;S n - nom sg;О;31
;не;НЕ;PART;;y;С ним что-то _не_ так , к;е;н;;;;;PART;НЕ;PART;Е;32
;так;ТАК;INTJ;;y;ним что-то не _так_ , к нему;к;а;т;;;;ADV;ТАК;ADV -;К;33
;,;,;PUNCT;;;;;;;;;;PUNCT;;;;34
;к;К;PR;;Y;не так , _к_ нему идёт человек;к;;;;;;PR;К;PR;К;35
;нему;ОН;SPRO sg 3p m gen;;y;так , к _нему_ идёт человек .;у;м;е;н;;;SPRO;ОН;SPRO sg 3p m dat;Н;36
;идёт;ИДТИ;V ipf praes sg indic - 3p;;y;, к нему _идёт_ человек .;т;ё;д;и;;;V;ИДТИ;V ipf praes sg indic - 3p;И;37
;человек;ЧЕЛОВЕК;S m anim nom sg;;y;к нему идёт _человек_ .;к;е;в;о;л;е;S;ЧЕЛОВЕК;S m anim nom sg;К;38
;.;.;PUNCT;;;;;;;;;;PUNCT;;;;39
;;;;;;;;;;;;;;;;;40
# sent = 908;;;;;;;;;;;;;;;;;41
# speaker = Алина;;;;;;;;;;;;;;;;;42
# sent = 909;;;;;;;;;;;;;;;;;43
;Котёнок;КОТЕНОК;S m anim nom sg;;y;_Котёнок_ шипит , человек;к;о;н;ё;т;о;S;КОТЕНОК;S m anim nom sg;К;44
;шипит;ШИПЕТЬ;V ipf praes sg indic - 3p;;y;Котёнок _шипит_ , человек хочет;т;и;п;и;ш;;V;ШИПЕТЬ;V ipf praes sg indic - 3p;Ь;45
;,;,;PUNCT;;;;;;;;;;PUNCT;;;;46
;человек;ЧЕЛОВЕК;S m anim nom sg;;y;Котёнок шипит , _человек_ хочет что то;к;е;в;о;л;е;S;ЧЕЛОВЕК;S m anim nom sg;К;47
;хочет;ХОТЕТЬ;V ipf praes sg indic - 3p;;y;шипит , человек _хочет_ что то сделать;т;е;ч;о;х;;V;ХОТЕТЬ;V ipf praes sg indic - 3p;Ь;48
;что;ЧТО;SPRO n inan nom sg;;y;, человек хочет _что_ то сделать с;о;т;ч;;;;CONJ;ЧТО;CONJ;О;49
;то;ТО;SPRO - nom sg n acc -;;y;человек хочет что _то_ сделать с котёнком;о;т;;;;;PART;ТО;PART;О;50
;сделать;СДЕЛАТЬ;V pf - - inf - -;;y;хочет что то _сделать_ с котёнком .;ь;т;а;л;е;д;V;СДЕЛАТЬ;V pf - - inf - -;Ь;51
;с;С;PR;;y;что то сделать _с_ котёнком .;с;;;;;;PR;С;PR;С;52
;котёнком;КОТЕНОК;S m anim ins sg;;y;то сделать с _котёнком_ .;м;о;к;н;ё;т;S;КОТЕНОК;S m anim ins sg;К;53
;.;.;PUNCT;;;;;;;;;;PUNCT;;;;54
;;;;;;;;;;;;;;;;;55
# sent = 910;;;;;;;;;;;;;;;;;56
# speaker = Алина;;;;;;;;;;;;;;;;;57
# sent = 911;;;;;;;;;;;;;;;;;58
;У;У;PR;;y;_У_ котёнка застряла лапа;у;;;;;;PR;У;PR;У;59
;котёнка;КОТЕНОК;S m anim acc sg;;y;У _котёнка_ застряла лапа !;а;к;н;ё;т;о;S;КОТЕНОК;S m anim acc sg;К;60
;застряла;ЗАСТРЯТЬ;V pf praet sg indic m -;;y;У котёнка _застряла_ лапа !;а;л;я;р;т;с;V;ЗАСТРЯТЬ;V pf praet sg indic f -;Ь;61
;лапа;ЛАПА;S f inan acc sg;;y;У котёнка застряла _лапа_ !;а;п;а;л;;;S;ЛАПА;S f inan nom sg;А;62
;!;!;PUNCT;;;;;;;;;;PUNCT;;;;63
;;;;;;;;;;;;;;;;;64
# sent = 912;;;;;;;;;;;;;;;;;65
;И;И;CONJ;;y;! _И_ он ругается на;и;;;;;;CONJ;И;CONJ;И;66
;он;ОН;SPRO sg 3p m nom;;y;И _он_ ругается на человека;н;о;;;;;SPRO;ОН;SPRO sg 3p m nom;Н;67
;ругается;РУГАТЬСЯ;V ipf praes sg indic - 3p;;y;И он _ругается_ на человека .;я;с;т;е;а;г;V;РУГАТЬСЯ;V ipf praes sg indic - 3p;Я;68
;на;НА;PR;;y;И он ругается _на_ человека .;а;н;;;;;PR;НА;PR;А;69
;человека;ЧЕЛОВЕК;S m anim nom sg;;y;он ругается на _человека_ .;а;к;е;в;о;л;S;ЧЕЛОВЕК;S m anim gen sg;К;70
